15/05/2014 19:59:55 | ----------------- INICIO DE SESION 192.168.0.128
15/05/2014 20:01:39 | Menú seleccionado: Árbol
15/05/2014 20:01:48 | Menú deseleccionado: Árbol
15/05/2014 20:01:50 | Menú seleccionado: Árbol
15/05/2014 20:01:51 | Menú deseleccionado: Árbol
15/05/2014 20:02:04 | Menú seleccionado: Filtrado y selección
15/05/2014 20:02:04 | Menú deseleccionado: Filtrado y selección
15/05/2014 20:02:04 | Menú seleccionado: Árbol
15/05/2014 20:02:05 | Menú deseleccionado: Árbol
15/05/2014 20:02:05 | Menú seleccionado: Árbol
15/05/2014 20:02:06 | Menú deseleccionado: Árbol
15/05/2014 20:05:11 | ----------------- INICIO DE SESION 192.168.0.128
15/05/2014 20:05:17 | Archivo > Cargar y procesar clase...
15/05/2014 20:05:21 | ¿Habilitar vistas para DYV? Sí
15/05/2014 20:05:26 | Preprocesador: clase cargada: 'C:\Users\Estefania\Desktop\Fib.java'
15/05/2014 20:05:27 | Archivo > Seleccionar método...
15/05/2014 20:05:33 | Método seleccionado: fibMemo ( int , int[] )  [ void ]
15/05/2014 20:05:35 | Archivo > Asignar parámetros y lanzar animación.
15/05/2014 20:05:41 | Lanzar ejecución: fibMemo(2, {-1,-1,-1});
15/05/2014 20:05:43 | Visualización: [ >> ]
15/05/2014 20:05:45 | Botón > Estructura de datos en DYV
15/05/2014 20:05:45 | Botón > Estructura de datos en DYV: false
15/05/2014 20:05:47 | Menú seleccionado: Árbol
15/05/2014 20:05:48 | Menú deseleccionado: Árbol
15/05/2014 20:05:48 | Menú seleccionado: Traza
15/05/2014 20:05:48 | Menú deseleccionado: Traza
15/05/2014 20:05:48 | Menú seleccionado: Información
15/05/2014 20:05:49 | Menú deseleccionado: Información
15/05/2014 20:05:49 | Menú seleccionado: Árbol
15/05/2014 20:05:49 | Menú deseleccionado: Árbol
15/05/2014 20:05:49 | Árbol de recursión > Estructura de datos en DYV
15/05/2014 20:05:49 | Árbol de recursión > Estructura de datos en DYV: true
15/05/2014 20:05:52 | Botón > Estructura de datos en DYV
15/05/2014 20:05:52 | Botón > Estructura de datos en DYV: false
15/05/2014 20:05:53 | Menú seleccionado: Árbol
15/05/2014 20:05:54 | Menú deseleccionado: Árbol
15/05/2014 20:05:54 | Menú seleccionado: Traza
15/05/2014 20:05:54 | Menú deseleccionado: Traza
15/05/2014 20:05:55 | Botón > Estructura de datos en DYV
15/05/2014 20:05:55 | Botón > Estructura de datos en DYV: true
15/05/2014 20:05:57 | Menú seleccionado: Árbol
15/05/2014 20:05:58 | Menú deseleccionado: Árbol
15/05/2014 20:05:58 | Menú seleccionado: Traza
15/05/2014 20:05:59 | Menú deseleccionado: Traza
15/05/2014 20:05:59 | Menú seleccionado: Árbol
15/05/2014 20:06:01 | Menú deseleccionado: Árbol
15/05/2014 20:06:02 | Archivo > Cargar y procesar clase...
15/05/2014 20:06:08 | ¿Habilitar vistas para DYV? No
15/05/2014 20:06:09 | Preprocesador: clase cargada: 'C:\Users\Estefania\Desktop\Fib.java'
15/05/2014 20:06:17 | ----------------- FIN DE SESION 192.168.0.128



15/05/2014 20:06:23 | ----------------- FIN DE SESION 192.168.0.128



15/05/2014 20:06:57 | ----------------- INICIO DE SESION 192.168.0.128
15/05/2014 20:07:01 | Archivo > Cargar y procesar clase...
15/05/2014 20:07:06 | ¿Habilitar vistas para DYV? No
15/05/2014 20:07:07 | Preprocesador: clase cargada: 'C:\Users\Estefania\Desktop\Fib.java'
15/05/2014 20:07:12 | Menú seleccionado: Árbol
15/05/2014 20:07:12 | Menú deseleccionado: Árbol
15/05/2014 20:07:12 | Árbol de recursión > Árboles dinámicos
15/05/2014 20:07:12 | Árbol de recursión > Árboles dinámicos: true
15/05/2014 20:07:14 | Archivo > Seleccionar método...
15/05/2014 20:07:14 | Método seleccionado: fib1 ( int )  [ int ]
15/05/2014 20:07:15 | Archivo > Asignar parámetros y lanzar animación.
15/05/2014 20:07:18 | Lanzar ejecución: fib1(8);
15/05/2014 20:07:19 | Visualización: [ >| ]
15/05/2014 20:07:20 | Visualización: [ >| ]
15/05/2014 20:07:21 | Visualización: [ >| ]
15/05/2014 20:07:21 | Visualización: [ >| ]
15/05/2014 20:07:22 | Visualización: [ >| ]
15/05/2014 20:07:24 | Visualización: [ >| ]
15/05/2014 20:07:25 | Visualización: [ >| ]
15/05/2014 20:07:26 | Visualización: [ >| ]
15/05/2014 20:07:27 | Visualización: [ >| ]
15/05/2014 20:07:27 | Visualización: [ >| ]
15/05/2014 20:07:28 | Visualización: [ >| ]
15/05/2014 20:07:29 | Visualización: [ >| ]
15/05/2014 20:07:29 | Visualización: [ >| ]
15/05/2014 20:07:30 | Visualización: [ >| ]
15/05/2014 20:07:30 | Visualización: [ >| ]
15/05/2014 20:07:31 | Visualización: [ >| ]
15/05/2014 20:07:31 | Visualización: [ >| ]
15/05/2014 20:07:31 | Visualización: [ >| ]
15/05/2014 20:07:32 | Visualización: [ >| ]
15/05/2014 20:07:32 | Visualización: [ >| ]
15/05/2014 20:07:32 | Visualización: [ >| ]
15/05/2014 20:07:32 | Visualización: [ >| ]
15/05/2014 20:07:33 | Visualización: [ >| ]
15/05/2014 20:07:33 | Visualización: [ >| ]
15/05/2014 20:07:33 | Visualización: [ >| ]
15/05/2014 20:07:33 | Visualización: [ >| ]
15/05/2014 20:07:34 | Visualización: [ >| ]
15/05/2014 20:07:34 | Visualización: [ >| ]
15/05/2014 20:07:34 | Visualización: [ >| ]
15/05/2014 20:07:34 | Visualización: [ >| ]
15/05/2014 20:07:34 | Visualización: [ >| ]
15/05/2014 20:07:35 | Visualización: [ >| ]
15/05/2014 20:07:35 | Visualización: [ >| ]
15/05/2014 20:07:35 | Visualización: [ >| ]
15/05/2014 20:07:35 | Visualización: [ >| ]
15/05/2014 20:07:35 | Visualización: [ >| ]
15/05/2014 20:07:36 | Visualización: [ >| ]
15/05/2014 20:07:36 | Visualización: [ >| ]
15/05/2014 20:07:36 | Visualización: [ >| ]
15/05/2014 20:07:36 | Visualización: [ >| ]
15/05/2014 20:07:36 | Visualización: [ >| ]
15/05/2014 20:07:36 | Visualización: [ >| ]
15/05/2014 20:07:36 | Visualización: [ >| ]
15/05/2014 20:07:37 | Visualización: [ >| ]
15/05/2014 20:07:37 | Visualización: [ >| ]
15/05/2014 20:07:37 | Visualización: [ >| ]
15/05/2014 20:07:37 | Visualización: [ >| ]
15/05/2014 20:07:38 | Visualización: [ << ]
15/05/2014 20:07:39 | Visualización: [ >| ]
15/05/2014 20:07:40 | Visualización: [ >| ]
15/05/2014 20:07:40 | Visualización: [ >| ]
15/05/2014 20:07:43 | Visualización: [ >| ]
15/05/2014 20:07:44 | Visualización: [ >| ]
15/05/2014 20:07:45 | Visualización: [ >| ]
15/05/2014 20:07:46 | Visualización: [ >| ]
15/05/2014 20:07:47 | Visualización: [ << ]
15/05/2014 20:08:23 | Visualización: [ >| ]
15/05/2014 20:08:24 | Visualización: [ >| ]
15/05/2014 20:08:24 | Visualización: [ >| ]
15/05/2014 20:08:25 | Visualización: [ >| ]
15/05/2014 20:08:25 | Visualización: [ >| ]
15/05/2014 20:08:26 | Visualización: [ >| ]
15/05/2014 20:08:27 | Visualización: [ >| ]
15/05/2014 20:08:27 | Visualización: [ >| ]
15/05/2014 20:08:28 | Visualización: [ >| ]
15/05/2014 20:08:28 | Visualización: [ >| ]
15/05/2014 20:08:29 | Visualización: [ >| ]
15/05/2014 20:08:29 | Visualización: [ >| ]
15/05/2014 20:08:31 | Visualización: [ << ]
15/05/2014 20:08:32 | Visualización: [ >| ]
15/05/2014 20:08:33 | Visualización: [ >| ]
15/05/2014 20:08:33 | Visualización: [ >| ]
15/05/2014 20:08:34 | Visualización: [ >| ]
15/05/2014 20:08:35 | Visualización: [ >| ]
15/05/2014 20:08:38 | Visualización: [ << ]
15/05/2014 20:08:39 | Visualización: [ >| ]
15/05/2014 20:08:40 | Visualización: [ >| ]
